finding_id,master_id,predictor_category,predictor,measurement_and_cutoff,preoperative_timing,outcome_domain,outcome_definition,response_definition_class,follow_up_category,reference_standard,association_direction,adjusted_or_unadjusted,covariates,studies_k,participants_n,synthesis_type,narrative_or_quantitative_result,evidence_type,clinical_interpretation,pdf,page_or_table,source_component
F-0107,FT-031,Clinical test,Intracranial pressure monitoring,Heterogeneous test protocols/positivity thresholds,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,11,NR,UNIVARIATE/BIVARIATE DTA META-ANALYSIS,DOR 50.9; AUC 0.836.,RESPONSE_CLASSIFIER,"Highest pooled discrimination, but invasive and based on small heterogeneous cohorts.",MESCLADOS 3,"M3 pp.46, 69-72",SYSTEMATIC_REVIEW_COMPONENT
F-0108,FT-031,Clinical test,External lumbar drainage,Heterogeneous test protocols/positivity thresholds,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,8,NR,UNIVARIATE/BIVARIATE DTA META-ANALYSIS,DOR 27.7; AUC 0.753.,RESPONSE_CLASSIFIER,Supports rule-in more than rule-out; protocol heterogeneity limits transfer.,MESCLADOS 3,"M3 pp.46, 69-72",SYSTEMATIC_REVIEW_COMPONENT
F-0109,FT-031,Clinical test,Infusion test,Heterogeneous test protocols/positivity thresholds,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,8,NR,UNIVARIATE/BIVARIATE DTA META-ANALYSIS,DOR 5.7; AUC 0.729.,RESPONSE_CLASSIFIER,Supports rule-in more than rule-out; protocol heterogeneity limits transfer.,MESCLADOS 3,"M3 pp.46, 69-72",SYSTEMATIC_REVIEW_COMPONENT
F-0110,FT-031,Clinical test,Tap test,Heterogeneous test protocols/positivity thresholds,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,6,NR,UNIVARIATE/BIVARIATE DTA META-ANALYSIS,DOR 3.86; AUC 0.711.,RESPONSE_CLASSIFIER,Supports rule-in more than rule-out; protocol heterogeneity limits transfer.,MESCLADOS 3,"M3 pp.46, 69-72",SYSTEMATIC_REVIEW_COMPONENT
F-0111,FT-031,Clinical factor,Predominant gait disturbance,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,"Often associated with better response, but not consistently adjusted.",PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0112,FT-031,Clinical factor,Short symptom duration,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,No consistent pooled effect.,PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0113,FT-031,Clinical factor,Age,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,Not consistently associated with response.,PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0114,FT-031,Clinical factor,Comorbid vascular risk factors,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,No consistent independent effect in available studies.,PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0115,FT-031,Clinical factor,Baseline cognitive severity,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,Mixed evidence; severe dementia may reduce functional recovery but is not a validated exclusion.,PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0116,FT-031,Clinical factor,Clinical triad completeness,Study-specific definition,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Subset of 9 clinical-feature studies,NR,NARRATIVE,"Possible favorable association in older series, with substantial spectrum bias.",PROGNOSTIC_FACTOR,Cannot be used as a deterministic benefit predictor.,MESCLADOS 3,M3 pp.48-55,SYSTEMATIC_REVIEW_COMPONENT
F-0117,FT-032,Radiology,DESH presence,Study-specific DESH definition,Preoperative,Global response,Treatment response after VPS,AUTHOR_DEFINED,INDETERMINADO,Post-VPS response,LIMITED DISCRIMINATION,UNADJUSTED/NR,NR,8,Subset of 812,DTA META-ANALYSIS,"DESH prevalence was common, but pooled prognostic performance was insufficient for standalone selection.",RESPONSE_CLASSIFIER,DESH may support diagnosis/rule-in but absence should not rule out benefit.,MESCLADOS 2,M2 pp.184-190,SYSTEMATIC_REVIEW_COMPONENT
F-0118,FT-032,Radiology,DESH absence,No DESH,Preoperative,Global response,Non-response after VPS,AUTHOR_DEFINED,INDETERMINADO,Post-VPS response,POOR RULE-OUT,UNADJUSTED/NR,NR,8,NR,DTA META-ANALYSIS,Negative predictive performance was inadequate.,RESPONSE_CLASSIFIER,Do not deny shunt solely because DESH is absent.,MESCLADOS 2,M2 pp.184-190,SYSTEMATIC_REVIEW_COMPONENT
F-0119,FT-032,Diagnostic phenotype,DESH prevalence,Radiological classification,Preoperative,Global response,Prevalence among shunted iNPH cohorts,NOT_REPORTED,,,COMMON BUT VARIABLE,UNADJUSTED/NR,NR,10,812,RANDOM-EFFECTS PREVALENCE META-ANALYSIS,Pooled prevalence reported in article; heterogeneity in definitions and enrollment limited applicability.,DIAGNOSTIC_ONLY,Prevalence is not predictive accuracy.,MESCLADOS 2,M2 pp.184-190,SYSTEMATIC_REVIEW_COMPONENT
F-0120,FT-034,PET imaging,FDG-PET metabolic pattern,Tracer-specific uptake pattern,Preoperative,Global/cognition,Post-shunt response in prognostic subset,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,PRELIMINARY/DIAGNOSTIC DOMINANT,UNADJUSTED/NR,NR,Subset of 31,NR,NARRATIVE,Useful mainly for differential diagnosis/comorbidity; limited direct shunt-response data.,DIAGNOSTIC_ONLY,Do not use PET alone to withhold shunting.,MESCLADOS 2,M2 pp.100-121,SYSTEMATIC_REVIEW_COMPONENT
F-0121,FT-034,PET imaging,Amyloid PET positivity,Tracer-specific uptake pattern,Preoperative,Global/cognition,Post-shunt response in prognostic subset,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,PRELIMINARY/DIAGNOSTIC DOMINANT,UNADJUSTED/NR,NR,Subset of 31,NR,NARRATIVE,"May identify AD co-pathology associated with cognitive prognosis, but not a validated shunt-response cutoff.",PROGNOSTIC_FACTOR,Do not use PET alone to withhold shunting.,MESCLADOS 2,M2 pp.100-121,SYSTEMATIC_REVIEW_COMPONENT
F-0122,FT-034,PET imaging,Dopaminergic/other tracers,Tracer-specific uptake pattern,Preoperative,Global/cognition,Post-shunt response in prognostic subset,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,PRELIMINARY/DIAGNOSTIC DOMINANT,UNADJUSTED/NR,NR,Subset of 31,NR,NARRATIVE,Sparse evidence for prognostication.,PROGNOSTIC_FACTOR,Do not use PET alone to withhold shunting.,MESCLADOS 2,M2 pp.100-121,SYSTEMATIC_REVIEW_COMPONENT
F-0123,FT-034,PET imaging,PET-based multimodal assessment,Tracer-specific uptake pattern,Preoperative,Global/cognition,Post-shunt response in prognostic subset,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,PRELIMINARY/DIAGNOSTIC DOMINANT,UNADJUSTED/NR,NR,Subset of 31,NR,NARRATIVE,Potential adjunct when diagnosis/comorbidity is uncertain; no validated standalone classifier.,DIAGNOSTIC_ONLY,Do not use PET alone to withhold shunting.,MESCLADOS 2,M2 pp.100-121,SYSTEMATIC_REVIEW_COMPONENT
F-0124,FT-036,Temporary CSF drainage,Positive extended lumbar drainage,Continuous drainage; study-specific response criteria,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,"HIGH APPARENT ACCURACY, VERY IMPRECISE",UNADJUSTED/NR,NR,4,84,BIVARIATE RANDOM-EFFECTS DTA,Sensitivity 94% (95% CI 41-100%); specificity 85% (33-100%); PPV and NPV 90% with wide CIs.,RESPONSE_CLASSIFIER,"Potential rule-in/rule-out signal, but evidence too small and imprecise for certainty.",MESCLADOS 2,M2 pp.141-147,SYSTEMATIC_REVIEW_COMPONENT
F-0125,FT-036,Verification process,Shunting regardless of ELD result,Eligibility required intended complete verification,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,REDUCED BUT NOT ELIMINATED PARTIAL VERIFICATION BIAS,UNADJUSTED/NR,NR,4,84,SYSTEMATIC REVIEW,Only four small studies met the key criterion; many reports were excluded because only ELD responders were shunted.,RESPONSE_CLASSIFIER,Published accuracy is highly vulnerable to selection/verification bias.,MESCLADOS 2,M2 pp.142-144,SYSTEMATIC_REVIEW_COMPONENT
F-0128,FT-038,Post-drainage change test,18-meter walk test,Study-specific change threshold after tap/ELD,Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,CURTO,Shunt outcome,"MODERATE SENSITIVITY, LIMITED SPECIFICITY",UNADJUSTED/NR,NR,Subset of 17 meta-analyzed trials,812,HSROC META-ANALYSIS,Sensitivity 0.83; specificity 0.67 (wide 95% CIs).,RESPONSE_CLASSIFIER,Positive change supports selection; absence of change is not a definitive rule-out.,MESCLADOS 2,"M2 pp.248, 253-257",SYSTEMATIC_REVIEW_COMPONENT
F-0129,FT-038,Post-drainage change test,Video-recorded gait performance,Study-specific change threshold after tap/ELD,Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,CURTO,Shunt outcome,"MODERATE SENSITIVITY, LIMITED SPECIFICITY",UNADJUSTED/NR,NR,Subset of 17 meta-analyzed trials,812,HSROC META-ANALYSIS,Sensitivity 0.85; specificity 0.68 (wide 95% CIs).,RESPONSE_CLASSIFIER,Positive change supports selection; absence of change is not a definitive rule-out.,MESCLADOS 2,"M2 pp.248, 253-257",SYSTEMATIC_REVIEW_COMPONENT
F-0130,FT-038,Post-drainage change test,Cognitive test,Study-specific change threshold after tap/ELD,Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,CURTO,Shunt outcome,"MODERATE SENSITIVITY, LIMITED SPECIFICITY",UNADJUSTED/NR,NR,Subset of 17 meta-analyzed trials,812,HSROC META-ANALYSIS,Sensitivity 0.82; specificity 0.75 (wide 95% CIs).,RESPONSE_CLASSIFIER,Positive change supports selection; absence of change is not a definitive rule-out.,MESCLADOS 2,"M2 pp.248, 253-257",SYSTEMATIC_REVIEW_COMPONENT
F-0131,FT-038,Post-drainage change test,Timed Up and Go,Study-specific change threshold after tap/ELD,Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,CURTO,Shunt outcome,"MODERATE SENSITIVITY, LIMITED SPECIFICITY",UNADJUSTED/NR,NR,Subset of 17 meta-analyzed trials,812,HSROC META-ANALYSIS,Sensitivity 0.89; specificity 0.63 (wide 95% CIs).,RESPONSE_CLASSIFIER,Positive change supports selection; absence of change is not a definitive rule-out.,MESCLADOS 2,"M2 pp.248, 253-257",SYSTEMATIC_REVIEW_COMPONENT
F-0132,FT-038,Response measurement,Threshold/procedure heterogeneity,Different timing and definitions after CSF removal,Preoperative,Gait/cognition,Trial-removal response,AUTHOR_DEFINED,CURTO,Shunt outcome,HIGH HETEROGENEITY,UNADJUSTED/NR,NR,29,NR,SYSTEMATIC REVIEW,No standardized change threshold or assessment protocol was established.,OUTCOME_MEASUREMENT,"Report exact test, timing, threshold and reference standard.",MESCLADOS 2,M2 pp.248-259,SYSTEMATIC_REVIEW_COMPONENT
F-0133,FT-039,CSF biomarker,Aβ42,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Multiple studies supported further investigation; no high-sensitivity/specificity threshold.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0134,FT-039,CSF biomarker,Total tau,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Evidence suggested possible prognostic value; heterogeneous assays/definitions.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0135,FT-039,CSF biomarker,Phosphorylated tau,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Supported by several studies; one low-level study reported a cutoff with moderate accuracy.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0136,FT-039,CSF biomarker,Neurofilament light,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Promising but not validated.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0137,FT-039,CSF biomarker,Leucine-rich alpha-2-glycoprotein,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Promising but limited evidence.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0138,FT-039,CSF biomarker,TGF-β1/TBR-II/homocysteine/interleukins,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,Minimal evidence.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0139,FT-039,CSF biomarker,Aβ38/Aβ40/Aβ43 and multiple other listed markers,Lumbar CSF concentration; heterogeneous assays/cutoffs,Preoperative,Global/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,EVIDENCE VARIES,UNADJUSTED/NR,NR,Among 13 studies,508,EVIDENCE-CLASS NARRATIVE,No available predictive evidence in included literature.,PROGNOSTIC_FACTOR,No biomarker met requirements for standalone clinical selection.,MESCLADOS 2,M2 pp.212-219,SYSTEMATIC_REVIEW_COMPONENT
F-0140,FT-041,Cognitive outcome,MMSE,Pre/post neuropsychological score,Preoperative,Cognition,Post-shunt change,STATISTICAL_CHANGE_ONLY,INTERMEDIÁRIO,Within-subject change,IMPROVEMENT,UNADJUSTED/NR,NR,Varies by test,1059,RANDOM-EFFECTS META-ANALYSIS,Statistically significant pooled improvement after shunt.,OUTCOME_MEASUREMENT,Statistical change is not equivalent to MCID; practice effects and heterogeneous follow-up remain concerns.,MESCLADOS 2,M2 pp.203-210,SYSTEMATIC_REVIEW_COMPONENT
F-0141,FT-041,Cognitive outcome,RAVLT total/delayed recall,Pre/post neuropsychological score,Preoperative,Cognition,Post-shunt change,STATISTICAL_CHANGE_ONLY,INTERMEDIÁRIO,Within-subject change,IMPROVEMENT,UNADJUSTED/NR,NR,Varies by test,1059,RANDOM-EFFECTS META-ANALYSIS,Pooled improvement in learning/memory.,OUTCOME_MEASUREMENT,Statistical change is not equivalent to MCID; practice effects and heterogeneous follow-up remain concerns.,MESCLADOS 2,M2 pp.203-210,SYSTEMATIC_REVIEW_COMPONENT
F-0142,FT-041,Cognitive outcome,Trail Making Test A/B,Pre/post neuropsychological score,Preoperative,Cognition,Post-shunt change,STATISTICAL_CHANGE_ONLY,INTERMEDIÁRIO,Within-subject change,IMPROVEMENT,UNADJUSTED/NR,NR,Varies by test,1059,RANDOM-EFFECTS META-ANALYSIS,Pooled improvement in attention/executive function.,OUTCOME_MEASUREMENT,Statistical change is not equivalent to MCID; practice effects and heterogeneous follow-up remain concerns.,MESCLADOS 2,M2 pp.203-210,SYSTEMATIC_REVIEW_COMPONENT
F-0143,FT-041,Cognitive outcome,Digit span/verbal fluency,Pre/post neuropsychological score,Preoperative,Cognition,Post-shunt change,STATISTICAL_CHANGE_ONLY,INTERMEDIÁRIO,Within-subject change,IMPROVEMENT,UNADJUSTED/NR,NR,Varies by test,1059,RANDOM-EFFECTS META-ANALYSIS,Variable pooled improvement.,OUTCOME_MEASUREMENT,Statistical change is not equivalent to MCID; practice effects and heterogeneous follow-up remain concerns.,MESCLADOS 2,M2 pp.203-210,SYSTEMATIC_REVIEW_COMPONENT
F-0144,FT-043,CSF tap test,Positive tap test—gait,Study-specific protocol/threshold,Preoperative,Global/gait/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,POSITIVE / RULE-IN SIGNAL,UNADJUSTED/NR,NR,8,482,NARRATIVE DTA,"Across 8 prospective cohorts (482 patients), PPV 92% overall (range 73–100%), specificity 75% (33–100%), sensitivity 58% (26–87%), NPV 37% (18–50%), and accuracy 62% (45–83%).",RESPONSE_CLASSIFIER,"A positive tap-test response can support selection, but high prevalence and selection/verification issues limit interpretation.",MESCLADOS 2,M2 pp.122–128; Tables 1–3,SYSTEMATIC_REVIEW_COMPONENT
F-0145,FT-043,CSF tap test,Positive tap test—cognition,Study-specific protocol/threshold,Preoperative,Global/gait/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,INCERTO,UNADJUSTED/NR,NR,8,482,NARRATIVE DTA,Outcome instruments and timing for cognition varied; no separate pooled domain-specific accuracy was reported.,RESPONSE_CLASSIFIER,Standardize test and do not use a negative result alone to exclude.,MESCLADOS 2,M2 pp.122–128; Tables 1–3,SYSTEMATIC_REVIEW_COMPONENT
F-0146,FT-043,CSF tap test,Negative tap test,Study-specific protocol/threshold,Preoperative,Global/gait/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,NEGATIVE TEST DOES NOT RULE OUT,UNADJUSTED/NR,NR,8,482,NARRATIVE DTA,Negative predictive value was low: 37% overall (range 18–50%); false-negative shunt responders were common.,RESPONSE_CLASSIFIER,Do not make a negative tap test an absolute contraindication to shunting.,MESCLADOS 2,M2 pp.122–128; Tables 1–3,SYSTEMATIC_REVIEW_COMPONENT
F-0147,FT-043,CSF tap test,Tap-test volume,Study-specific protocol/threshold,Preoperative,Global/gait/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,INCERTO,UNADJUSTED/NR,NR,8,482,NARRATIVE DTA,"CSF volume removed varied: 30 mL, 40 mL, 50 mL, or variable; the review suggested but did not establish that larger removal may improve sensitivity.",OUTCOME_MEASUREMENT,Standardize test and do not use a negative result alone to exclude.,MESCLADOS 2,M2 pp.122–128; Tables 1–3,SYSTEMATIC_REVIEW_COMPONENT
F-0148,FT-043,CSF tap test,Timing of assessment,Study-specific protocol/threshold,Preoperative,Global/gait/cognition,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,INCERTO,UNADJUSTED/NR,NR,8,482,NARRATIVE DTA,Assessment ranged from approximately 1–3 hours to 7 days depending on symptom domain and study; no single optimal timing was established.,OUTCOME_MEASUREMENT,Standardize test and do not use a negative result alone to exclude.,MESCLADOS 2,M2 pp.122–128; Tables 1–3,SYSTEMATIC_REVIEW_COMPONENT
F-0149,FT-044,CSF dynamics,Resistance to CSF outflow,Rout > 10 mmHg/ml/min,Preoperative,Global response,Postoperative improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,HIGHER ROUT ASSOCIATED WITH RESPONSE,UNADJUSTED/NR,NR,7,389,FIXED-EFFECT META-ANALYSIS,Pooled OR 2.82.,RESPONSE_CLASSIFIER,Threshold-specific tradeoff; none provides reliable exclusion.,MESCLADOS 2,M2 pp.3-7,SYSTEMATIC_REVIEW_COMPONENT
F-0150,FT-044,CSF dynamics,Resistance to CSF outflow,Rout > 12 mmHg/ml/min,Preoperative,Global response,Postoperative improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,HIGHER ROUT ASSOCIATED WITH RESPONSE,UNADJUSTED/NR,NR,9,499,FIXED-EFFECT META-ANALYSIS,Pooled OR 3.58.,RESPONSE_CLASSIFIER,12 mmHg/ml/min maximized reported overall accuracy but specificity remained limited.,MESCLADOS 2,M2 pp.3-7,SYSTEMATIC_REVIEW_COMPONENT
F-0151,FT-044,CSF dynamics,Resistance to CSF outflow,Rout > 15 mmHg/ml/min,Preoperative,Global response,Postoperative improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,HIGHER ROUT ASSOCIATED WITH RESPONSE,UNADJUSTED/NR,NR,8,NR,FIXED-EFFECT META-ANALYSIS,Pooled OR 2.72.,RESPONSE_CLASSIFIER,Threshold-specific tradeoff; none provides reliable exclusion.,MESCLADOS 2,M2 pp.3-7,SYSTEMATIC_REVIEW_COMPONENT
F-0152,FT-044,CSF dynamics,Resistance to CSF outflow,Rout > 18 mmHg/ml/min,Preoperative,Global response,Postoperative improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,HIGHER ROUT ASSOCIATED WITH RESPONSE,UNADJUSTED/NR,NR,9,NR,FIXED-EFFECT META-ANALYSIS,Pooled OR 2.38.,RESPONSE_CLASSIFIER,Threshold-specific tradeoff; none provides reliable exclusion.,MESCLADOS 2,M2 pp.3-7,SYSTEMATIC_REVIEW_COMPONENT
F-0153,FT-045,Clinical presentation,Gait-predominant presentation,Predominant preoperative complaint,Preoperative,Global response,Post-shunt improvement,CLINICAL_JUDGMENT,INDETERMINADO,Post-shunt outcome,FAVORABLE ASSOCIATION,UNADJUSTED/NR,NR,43,NR,NARRATIVE,Gait disturbance as predominant complaint was described as suggestive of better outcome.,PROGNOSTIC_FACTOR,Supportive but not sufficient alone.,MESCLADOS 3,M3 pp.165-170,SYSTEMATIC_REVIEW_COMPONENT
F-0154,FT-045,Timing,Early diagnosis/shorter delay,Study-specific duration,Preoperative,Global response,Post-shunt improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,FAVORABLE TREND,UNADJUSTED/NR,NR,43,NR,NARRATIVE,"Early diagnosis was identified as a favorable factor, though studies conflicted about duration.",PROGNOSTIC_FACTOR,Avoid unnecessary delay; do not exclude long-duration cases.,MESCLADOS 3,M3 pp.165-170,SYSTEMATIC_REVIEW_COMPONENT
F-0155,FT-045,CSF dynamics,Positive response to CSF dynamic tests,Tap/infusion/ELD,Preoperative,Global response,Post-shunt improvement,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,FAVORABLE ASSOCIATION,UNADJUSTED/NR,NR,43,NR,NARRATIVE,Positive tests were associated with good outcome.,RESPONSE_CLASSIFIER,Rule-in adjunct; negative tests remain uncertain.,MESCLADOS 3,M3 pp.165-170,SYSTEMATIC_REVIEW_COMPONENT
F-0156,FT-045,Outcome measurement,Overall surgical success,Study-defined improvement,Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt status,WIDE RANGE,UNADJUSTED/NR,NR,43,NR,DESCRIPTIVE,"Success rates ranged 30%-90%, reflecting heterogeneous selection and outcome protocols.",OUTCOME_MEASUREMENT,Do not compare rates without harmonizing definitions and follow-up.,MESCLADOS 3,M3 pp.165-170,SYSTEMATIC_REVIEW_COMPONENT
F-0157,FT-049,Neuroimaging,Alzheimer-type SPECT pattern,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,One of three imaging patterns meeting authors' biomarker criteria; evidence level B for iNPH selection.,RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
F-0158,FT-049,Neuroimaging,Aqueductal CSF flow void/phase-contrast MRI,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,"Promising early accuracy, not consistently replicated.",RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
F-0159,FT-049,Neuroimaging,MR spectroscopy NAA/choline ratio,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,"High-accuracy evidence applied mainly to secondary NPH, not directly generalizable to iNPH.",RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
F-0160,FT-049,Neuroimaging,Structural CT/MRI severity,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,Ventricular size/atrophy and periventricular changes lacked reliable predictive value.,RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
